name,date,sentiment_score
삼성전자,2026-06-20,0.2349
SK하이닉스,2026-06-20,0.7957
한미반도체,2026-06-20,0.5611
삼성전기,2026-06-20,-0.1833
이수페타시스,2026-06-20,0.4119
리노공업,2026-06-20,-0.7882
LG디스플레이,2026-06-20,0.2302
대덕전자,2026-06-20,0.9191
현대차,2026-06-20,0.8338
기아,2026-06-20,-0.6998
현대모비스,2026-06-20,0.7855
현대제철,2026-06-20,0.5896
삼성SDI,2026-06-20,0.8844
LG에너지솔루션,2026-06-20,0.6493
LG화학,2026-06-20,0.6002
SK이노베이션,2026-06-20,0.1996
롯데케미칼,2026-06-20,-0.3571
한화에어로스페이스,2026-06-20,0.1873
현대로템,2026-06-20,0.6439
LIG넥스원,2026-06-20,0.8756
한국항공우주,2026-06-20,0.7336
한화시스템,2026-06-20,0.2785
두산에너빌리티,2026-06-20,0.4611
HD현대일렉트릭,2026-06-20,0.8878
LS ELECTRIC,2026-06-20,0.9978
S-Oil,2026-06-20,0.9285
한국전력,2026-06-20,0.4427
한국가스공사,2026-06-20,-0.5723
POSCO홀딩스,2026-06-20,-0.0602
고려아연,2026-06-20,0.699
금호석유,2026-06-20,0.9982
한화,2026-06-20,0.3807
NAVER,2026-06-20,0.8383
SK텔레콤,2026-06-20,0.8744
KT,2026-06-20,0.0
LG유플러스,2026-06-20,0.7962
삼성에스디에스,2026-06-20,0.3762
셀트리온,2026-06-20,0.6974
유한양행,2026-06-20,0.6991
삼성바이오로직스,2026-06-20,-0.4875
휴젤,2026-06-20,0.9346
SK바이오팜,2026-06-20,-0.583
신한지주,2026-06-20,0.3231
KB금융,2026-06-20,0.1045
하나금융지주,2026-06-20,0.7896
기업은행,2026-06-20,0.3497
한국금융지주,2026-06-20,0.0
미래에셋증권,2026-06-20,0.2833
삼성증권,2026-06-20,0.6999
삼성생명,2026-06-20,0.2583
삼성화재,2026-06-20,0.2753
현대해상,2026-06-20,0.7655
현대건설,2026-06-20,-0.4043
삼성엔지니어링,2026-06-20,0.5693
HD현대중공업,2026-06-20,0.3586
한화오션,2026-06-20,0.3352
한국조선해양,2026-06-20,0.6947
HMM,2026-06-20,0.999
대한항공,2026-06-20,0.5864
신세계,2026-06-20,-0.1969
이마트,2026-06-20,-0.061
GS리테일,2026-06-20,0.7331
아모레퍼시픽,2026-06-20,0.3013
강원랜드,2026-06-20,0.6999
SK,2026-06-20,0.0068
LG,2026-06-20,0.0532
LG전자,2026-06-20,-0.3958
삼성물산,2026-06-20,0.7897
GS,2026-06-20,0.698
두산,2026-06-20,0.9999
포스코인터내셔널,2026-06-20,0.6481
BNK금융지주,2026-06-20,0.9923
LG생활건강,2026-06-20,0.641
한샘,2026-06-20,0.8163
